par, sync, error
0.5, 0.0247525, nan
0.6, 0.039604, nan
0.7, 0.049505, nan
0.8, 0.0470297, nan
0.9, 0.0668317, nan
1, 0.00990099, nan
1.1, 0.121287, nan
1.2, 0.0965347, nan
1.3, 0.0841584, nan
1.4, 0.242574, nan
1.5, 0.294554, nan
1.6, 0.259901, nan
1.7, 0.391089, nan
1.8, 0.415842, nan
1.9, 0.574257, nan
2, 0.596535, nan
2.1, 0.497525, nan
2.2, 0.539604, nan
2.3, 0.586634, nan
2.4, 0.586634, nan
2.5, 0.643564, nan
2.6, 0.712871, nan
2.7, 0.717822, nan
2.8, 0.70297, nan
2.9, 0.658416, nan
3, 0.737624, nan
3.1, 0.712871, nan
3.2, 0.663366, nan
3.3, 0.742574, nan
3.4, 0.79703, nan
3.5, 0.787129, nan
3.6, 0.769802, nan
3.7, 0.777228, nan
3.8, 0.767327, nan
3.9, 0.707921, nan
4, 0.789604, nan
4.1, 0.740099, nan
4.2, 0.804455, nan
4.3, 0.730198, nan
4.4, 0.799505, nan
4.5, 0.777228, nan
4.6, 0.777228, nan
4.7, 0.762376, nan
4.8, 0.824257, nan
4.9, 0.804455, nan
5, 0.774752, nan
5.1, 0.774752, nan
5.2, 0.799505, nan
5.3, 0.789604, nan
5.4, 0.752475, nan
5.5, 0.804455, nan
