par, sync
0.5, 0.0247525
0.6, 0.039604
0.7, 0.049505
0.8, 0.0470297
0.9, 0.0668317
1, 0.00990099
1.1, 0.121287
1.2, 0.0965347
1.3, 0.0841584
1.4, 0.242574
1.5, 0.294554
1.6, 0.259901
1.7, 0.391089
1.8, 0.415842
1.9, 0.574257
2, 0.596535
2.1, 0.497525
2.2, 0.539604
2.3, 0.586634
2.4, 0.586634
2.5, 0.643564
2.6, 0.712871
2.7, 0.717822
2.8, 0.70297
2.9, 0.658416
3, 0.737624
3.1, 0.712871
3.2, 0.663366
3.3, 0.742574
3.4, 0.79703
3.5, 0.787129
3.6, 0.769802
3.7, 0.777228
3.8, 0.767327
3.9, 0.707921
4, 0.789604
4.1, 0.740099
4.2, 0.804455
4.3, 0.730198
4.4, 0.799505
4.5, 0.777228
4.6, 0.777228
4.7, 0.762376
4.8, 0.824257
4.9, 0.804455
5, 0.774752
5.1, 0.774752
5.2, 0.799505
5.3, 0.789604
5.4, 0.752475
5.5, 0.804455
