par, sync
0.5, 0.551155
0.6, 0.458746
0.7, 0.382838
0.8, 0.174917
0.9, 0.0891089
1, 0.0231023
1.1, 0.155116
1.2, 0.108911
1.3, 0.108911
1.4, 0.273927
1.5, 0.30033
1.6, 0.287129
1.7, 0.405941
1.8, 0.438944
1.9, 0.577558
2, 0.590759
2.1, 0.511551
2.2, 0.551155
2.3, 0.590759
2.4, 0.60396
2.5, 0.663366
2.6, 0.716172
2.7, 0.722772
2.8, 0.716172
2.9, 0.676568
3, 0.749175
3.1, 0.729373
3.2, 0.689769
3.3, 0.755776
3.4, 0.808581
3.5, 0.80198
3.6, 0.782178
3.7, 0.788779
3.8, 0.782178
3.9, 0.729373
4, 0.80198
4.1, 0.762376
4.2, 0.815182
4.3, 0.755776
4.4, 0.815182
4.5, 0.79538
4.6, 0.79538
4.7, 0.782178
4.8, 0.834983
4.9, 0.821782
5, 0.79538
5.1, 0.79538
5.2, 0.815182
5.3, 0.808581
5.4, 0.775578
5.5, 0.821782
